img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,index
/games/boxart/full_2576352AmericaFrontccc.jpg,Conflict: Desert Storm,GC,Shooter,Gotham Games,Pivotal Games,6.3,0.08,0.06,,0.02,0.0,2003-04-22,,10957
/games/boxart/9372957ccc.jpg,P.N.03 - Product Number Three,GC,Shooter,Capcom,Capcom Production Studio 4,6.3,0.08,0.06,,0.02,0.0,2003-09-09,,10960
/games/boxart/4700004ccc.jpg,Bangai-O Spirits,DS,Shooter,D3 Publisher,"Treasure Co., Ltd.",8.4,0.08,0.07,,0.0,0.01,2008-08-12,,10963
/games/boxart/7806817ccc.jpg,Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,Action,Ubisoft,Ubisoft,6.7,0.08,0.06,,0.02,0.0,2004-07-20,,10968
/games/boxart/full_knights-contract_222AmericaFront.jpg,Knights Contract,X360,Action,Namco Bandai,Game Republic,5.0,0.08,0.05,,0.03,0.01,2011-02-22,,10969
/games/boxart/full_2172301AmericaFrontccc.jpg,Knights in the Nightmare,DS,Role-Playing,Atlus,Sting,7.5,0.08,0.06,0.02,,0.0,2009-06-03,,10972
/games/boxart/91926ccc.jpg,Ephemeral Fantasia,PS2,Role-Playing,Konami,Konami,5.7,0.08,0.04,,0.03,0.01,2001-07-09,,10984
/games/boxart/full_3084988AmericaFrontccc.jpg,Koudelka,PS,Role-Playing,SNK,Sacnoth,6.5,0.08,0.05,,0.03,0.01,1999-11-30,,10985
/games/boxart/full_542452AmericaFrontccc.jpg,Ogre Battle Series: Tactics Ogre,PS,Role-Playing,Atlus,Quest Corporation,7.9,0.08,0.04,,0.03,0.01,1998-05-01,,10989
/games/boxart/9519959ccc.jpg,Shining Force: Resurrection of the Dark Dragon,GBA,Role-Playing,Atlus,Amusement Vision,7.8,0.08,0.06,,0.02,0.0,2004-06-08,,10993
/games/boxart/6724163ccc.jpg,Shin Megami Tensei: Digital Devil Saga 2,PS2,Role-Playing,Atlus,Atlus Co.,8.1,0.08,0.04,,0.03,0.01,2005-10-03,,10995
